Date,Open,High,Low,Close,Adj Close,Volume
2000-04-03,64.750000,65.250000,64.750000,65.250000,51.359436,148400
2000-04-04,64.500000,64.500000,62.750000,63.500000,49.981983,151100
2000-04-05,63.250000,64.000000,63.250000,63.750000,50.178761,50800
2000-04-06,63.250000,63.500000,62.500000,63.500000,49.981983,50800
2000-04-07,63.500000,63.750000,63.000000,63.750000,50.178761,39300
2000-04-10,63.750000,63.750000,63.000000,63.500000,49.981983,86400
2000-04-11,63.250000,63.250000,62.500000,63.000000,49.588417,57600
2000-04-12,63.750000,64.000000,63.000000,63.500000,49.981983,147100
2000-04-13,62.500000,62.750000,62.000000,62.500000,49.194866,89500
2000-04-14,61.750000,61.874802,60.500000,60.500000,47.620625,150900
2000-04-17,58.750000,60.500000,58.750000,60.500000,47.620625,181500
2000-04-18,60.500000,61.000000,60.250000,60.750000,47.817410,71500
2000-04-19,61.000000,61.250000,60.250000,60.250000,47.423851,71900
2000-04-20,60.750000,61.500000,60.750000,61.250000,48.210964,129200
2000-04-24,61.750000,61.750000,60.750000,61.000000,48.014183,70400
2000-04-25,62.000000,62.750000,61.750000,62.750000,49.391640,64400
2000-04-26,62.250000,62.250000,61.250000,61.500000,48.407749,83800
2000-04-27,60.500000,61.250000,60.250000,60.750000,47.817410,71300
2000-04-28,61.250000,61.250000,60.500000,61.000000,48.014183,64700
2000-05-01,61.500000,62.250000,61.500000,62.250000,48.998096,54500
2000-05-02,62.000000,62.250000,61.500000,61.500000,48.407749,52400
2000-05-03,61.500000,61.750000,60.500000,60.750000,47.817410,33200
2000-05-04,61.000000,61.750000,61.000000,61.500000,48.407749,55300
2000-05-05,61.250000,62.000000,61.000000,61.500000,48.407749,39100
2000-05-08,61.000000,61.250000,61.000000,61.000000,48.014183,34800
2000-05-09,60.500000,60.750000,60.000000,60.250000,47.423851,71900
2000-05-10,60.000000,60.500000,59.750000,59.750000,47.030296,79200
2000-05-11,58.750000,59.500000,58.750000,59.062401,46.489056,73100
2000-05-12,59.500000,60.500000,59.250000,60.000000,47.227062,76100
2000-05-15,59.750000,60.000000,59.000000,59.750000,47.030296,56800
2000-05-16,60.000000,60.500000,59.750000,60.000000,47.227062,134800
2000-05-17,58.750000,59.000000,58.500000,58.500000,46.046387,49900
2000-05-18,59.000000,59.250000,58.500000,58.750000,46.243168,81900
2000-05-19,58.250000,58.500000,57.750000,58.000000,45.652840,87800
