Date,Open,High,Low,Close,Adj Close,Volume
2008-05-22,25.290001,25.309999,25.260000,25.290001,22.923174,367600
2008-05-23,25.330000,25.379999,25.250000,25.290001,22.923174,98800
2008-05-27,25.379999,25.379999,25.240000,25.260000,22.895981,188500
2008-05-28,25.230000,25.230000,25.120001,25.209999,22.850658,34800
2008-05-29,25.299999,25.299999,25.180000,25.270000,22.905045,60500
2008-05-30,25.320000,25.320000,25.200001,25.250000,22.886917,45800
2008-06-02,25.379999,25.379999,25.280001,25.320000,22.950363,93600
2008-06-03,25.379999,25.400000,25.290001,25.330000,22.959429,207300
2008-06-04,25.299999,25.379999,25.260000,25.379999,23.004747,85500
2008-06-05,25.270000,25.330000,25.250000,25.290001,22.923174,193600
2008-06-06,25.330000,25.389999,25.270000,25.360001,22.986620,161800
2008-06-09,25.330000,25.420000,25.290001,25.340000,22.968493,572200
2008-06-10,25.309999,25.549999,25.299999,25.389999,23.013813,293300
2008-06-11,25.450001,25.450001,25.299999,25.340000,22.968493,136100
2008-06-12,25.379999,25.549999,25.340000,25.379999,23.004747,197400
2008-06-13,25.400000,25.459999,25.309999,25.360001,22.986620,231600
2008-06-16,25.340000,25.510000,25.340000,25.400000,23.022877,361100
2008-06-17,25.540001,25.549999,25.440001,25.459999,23.077261,260500
2008-06-18,25.530001,25.530001,25.450001,25.459999,23.077261,389500
2008-06-19,25.490000,25.500000,25.420000,25.490000,23.104454,180900
2008-06-20,25.520000,25.570000,25.500000,25.549999,23.158838,341200
2008-06-23,25.719999,25.719999,25.480000,25.590000,23.195097,829100
2008-06-24,25.600000,25.600000,25.459999,25.520000,23.131647,269800
2008-06-25,25.580000,25.580000,25.480000,25.530001,23.140711,103000
2008-06-26,25.549999,25.580000,25.510000,25.530001,23.140711,135800
2008-06-27,25.530001,25.600000,25.500000,25.549999,23.158838,438800
2008-06-30,25.660000,25.740000,25.530001,25.540001,23.149775,550500
2008-07-01,25.600000,25.600000,25.520000,25.559999,23.167902,308000
2008-07-02,25.580000,25.580000,25.459999,25.500000,23.113518,169300
